id,output_front,output_back,xsize,ysize,category,scene_back,scene_front,cardframe_back,cardframe_front,graphic1,graphic2,animation,frames,fps,start_frame,name,body,hair,hair2,body_id,face,leg,silkpattern,silkcol1,silkcol2,sire_id,dam_id,breeder,trainer,description,life,lifewin,liferec,lifedollar,year1,year1title,year2,year2title,year3,year3title,year4,year4title,colour_text,_id,bucket,owner_id,user_horse_id,orig_ghuid,gen,texture_id,face_mark_id,leg_mark_id,trainer_id,gender,age,energy,happiness,conditioning,grade,bloodline,race_tokens,skill_points,train_points,min_speed,norm_speed,inc_speed,over_inc_speed,tpoints_speed,min_stamina,norm_stamina,inc_stamina,over_inc_stamina,tpoints_stamina,min_acceleration,norm_acceleration,inc_acceleration,over_inc_acceleration,tpoints_acceleration,skill_first_out,skill_front,skill_rail,skill_breezing,skill_working,skill_drafting,skill_turning,skill_dueling,skill_overtaking,skill_final_kick,skill_closing,speed_traits,stamina_traits,acceleration_traits,sire_ghuid,dam_ghuid,trait_small_size,trait_avg_size,trait_big_size,trait_colossus_size,trait_high_stride,trait_pony_strider,trait_silky_stride,trait_long_strider,trait_rip_quarters,trait_muscular,trait_athletic_build,trait_plenty_of_bone,trait_turf_lover,trait_dirt_digger,trait_comp_driver,trait_turner,trait_comf_runner,trait_quick_speed,trait_sprinter,trait_miler,trait_marathoner,trait_muddy_runner,trait_nice_and_hot,trait_cold_killer,trait_wet_winner,trait_leader,trait_hunter,trait_del_motivation,trait_starter,trait_jockeying,trait_finisher,trait_learner,locus_ext,locus_gray,locus_kit,train_user_xp_reward,overtrain_user_xp_reward,train_user_coins_cost,train_user_ices_cost,train_horse_energy_cost,train_horse_conditioning_gain,train_horse_happiness_gain,train_horse_happiness_drop,train_points_pool,train_points_free_pool,train_points_coins_pool,train_points_ices_pool,train_point_free_cooldown,train_point_coins_cooldown,train_point_ices_cooldown,energy_repl_interval,energy_repl_amount,feeding_cooldown,caring_cooldown,tiredness_cooldown,tiredness_horse_happiness_drop,skill_points_pool,race_tokens_pool,nft_token_id
1011,1011.mp4,1011b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TKickback,265,25,1,OC-A1-0001,hrs_bodyBayBloody_AM.png,hrs_hair_Black_head.png,hrs_hair_Black_neck.png,65,hrs_headMarkingStripe_07.png,hrs_horseLegMarking_06.png,Grade1-Frame.png,FFFFFF,FFFFFF,2699821061,26764902405,,,,,,,,,,,,,,,,Bloody Bay,1011,0,0,0,0,1,65,7,2,13,1,0,100,100,100,1,1,3,0,300,63,73,3,0.30,0,74,82,3,0.30,0,59,71,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7984784,9840722,10922390,2699821061,26764902405,21,76,33,9,2,52,65,31,26,83,24,3,32,75,51,41,55,56,30,25,73,48,46,49,53,54,52,47,46,52,51,50,1,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
1012,1012.mp4,1012b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TShake,195,25,1,OC-A1-0002,hrs_bodyChestnut_AM.png,hrs_hair_ReddishBrown_head.png,hrs_hair_ReddishBrown_neck.png,68,None.png,hrs_horseLegMarking_03.png,Grade1-Frame.png,FFFFFF,FFFFFF,27355774981,2745171973,,,,,,,,,,,,,,,,Chestnut,1012,0,0,0,0,2,68,0,4,19,1,0,100,100,100,1,1,3,0,300,58,67,3,0.30,0,70,77,3,0.30,0,61,70,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7452301,9590865,11446741,27355774981,2745171973,32,90,14,0,11,64,49,20,26,83,24,3,32,65,43,43,48,40,31,24,66,45,41,45,52,51,50,39,42,41,38,44,10,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
1013,1013.mp4,1013b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TNodyes,181,25,1,OC-A1-0003,hrs_bodyBay_AM.png,hrs_hair_Black_head.png,hrs_hair_Black_neck.png,64,hrs_headMarkingStar_05.png,hrs_horseLegMarking_01.png,Grade1-Frame.png,FFFFFF,FFFFFF,2863398917,27627094021,,,,,,,,,,,,,,,,Bay,1013,0,0,0,0,3,64,11,3,13,0,0,100,100,100,1,1,3,0,300,66,77,3,0.30,0,64,74,3,0.30,0,64,73,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7976592,9582612,11442646,2863398917,27627094021,14,67,45,17,19,74,36,11,20,75,34,10,23,71,46,39,46,44,27,70,23,50,45,38,42,46,51,44,40,49,41,48,2,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
1014,1014.mp4,1014b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TRearup,188,25,1,OC-A1-0004,hrs_bodyBlack_AM.png,hrs_hair_Black_head.png,hrs_hair_Black_neck.png,66,hrs_headMarkingStar_03.png,hrs_horseLegMarking_04.png,Grade1-Frame.png,FFFFFF,FFFFFF,28657057797,27331395589,,,,,,,,,,,,,,,,Black,1014,0,0,0,0,3,66,9,7,15,1,0,100,100,100,1,1,3,0,300,62,72,3,0.30,0,63,74,3,0.30,0,63,74,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7198350,9840657,10926614,28657057797,27331395589,23,79,29,7,20,75,35,10,20,75,35,10,23,69,39,49,46,50,22,72,30,38,44,39,50,39,38,38,45,47,40,52,2,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
1015,1015.mp4,1015b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TKickback,265,25,1,OC-A1-0005,hrs_bodyBayBloody_AM.png,hrs_hair_Black_head.png,hrs_hair_Black_neck.png,65,hrs_headMarkingStar_04.png,hrs_horseLegMarking_01.png,Grade1-Frame.png,FFFFFF,FFFFFF,28413788165,28401729541,,,,,,,,,,,,,,,,Bloody Bay,1015,0,0,0,0,2,65,10,3,24,1,0,100,100,100,1,1,3,0,300,66,72,3,0.30,0,63,74,3,0.30,0,66,72,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7198350,9316371,11704854,28413788165,28401729541,20,75,34,10,20,75,35,10,20,75,34,10,33,58,50,42,38,51,34,67,33,49,52,44,52,50,41,38,46,46,38,47,0,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
1016,1016.mp4,1016b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TShake,195,25,1,OC-A1-0006,hrs_bodyBay_AM.png,hrs_hair_Black_head.png,hrs_hair_Black_neck.png,64,hrs_headMarkingStar_01.png,hrs_horseLegMarking_03.png,Grade1-Frame.png,FFFFFF,FFFFFF,28658106373,2863661061,,,,,,,,,,,,,,,,Bay,1016,0,0,0,0,2,64,6,4,18,1,0,100,100,100,1,1,3,0,300,62,72,3,0.30,0,62,73,3,0.30,0,61,76,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7980686,9582611,11704790,28658106373,2863661061,23,79,29,7,22,77,32,8,18,73,37,12,34,68,39,38,38,51,25,66,34,38,41,45,40,39,39,40,39,52,47,51,0,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
1017,1017.mp4,1017b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TNodyes,181,25,1,OC-A1-0007,hrs_bodyBrown_AM.png,hrs_hair_Black_head.png,hrs_hair_Black_neck.png,67,hrs_headMarkingStripe_01.png,hrs_horseLegMarking_01.png,Grade1-Frame.png,FFFFFF,FFFFFF,2892234757,2901934085,,,,,,,,,,,,,,,,Brown,1017,0,0,0,0,1,67,1,3,1,0,0,100,100,100,1,1,3,0,300,64,74,3,0.30,0,62,76,3,0.30,0,64,77,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7202445,9316370,11704790,2892234757,2901934085,19,74,36,11,18,72,38,13,15,69,43,16,27,62,47,50,40,44,33,65,25,47,43,51,43,51,45,50,51,49,41,40,1,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
1018,1018.mp4,1018b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TRearup,188,25,1,OC-A1-0008,hrs_bodyBay_AM.png,hrs_hair_Black_head.png,hrs_hair_Black_neck.png,64,hrs_headMarkingStar_03.png,hrs_horseLegMarking_03.png,Grade1-Frame.png,FFFFFF,FFFFFF,26818904069,27347386373,,,,,,,,,,,,,,,,Bay,1018,0,0,0,0,3,64,9,4,3,0,0,100,100,100,1,1,3,0,300,70,77,3,0.30,0,60,69,3,0.30,0,72,75,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7726735,9328594,10930582,26818904069,27347386373,11,64,49,20,29,85,20,0,12,65,47,19,33,64,51,50,52,43,59,25,24,51,40,49,43,50,41,45,51,40,49,42,1,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
1019,1019.mp4,1019b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TNodno,191,25,1,OC-A1-0009,hrs_bodyDarkBeacon_AM.png,hrs_hair_Black_head.png,hrs_hair_Black_neck.png,69,hrs_headMarkingStripe_06.png,hrs_horseLegMarking_03.png,Grade1-Frame.png,FFFFFF,FFFFFF,2890137605,2890399749,,,,,,,,,,,,,,,,Dark Bay,1019,0,0,0,0,1,69,13,4,15,1,0,100,100,100,1,1,3,0,300,66,77,3,0.30,0,66,73,3,0.30,0,63,74,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7726734,9582610,10926551,2890137605,2890399749,14,67,45,17,19,74,36,11,20,75,35,10,24,59,41,41,45,42,27,60,32,51,38,47,46,42,52,50,43,47,38,48,1,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
10110,10110.mp4,10110b.mp4,600,840,Regular,NFT2023BackRT,NFT2023-V9,NFT-BACK-V6-Unity.png,NFT-Frame-V9.png,USA-Frame.png,Grade1-Frame.png,TKickback,265,25,1,OC-A1-0010,hrs_bodyDarkBeacon_AM.png,hrs_hair_Black_head.png,hrs_hair_Black_neck.png,69,hrs_headMarkingStripe_05.png,hrs_horseLegMarking_02.png,Grade1-Frame.png,FFFFFF,FFFFFF,28640542725,28654174213,,,,,,,,,,,,,,,,Dark Bay,10110,0,0,0,0,2,69,5,1,8,0,0,100,100,100,1,1,3,0,300,63,75,3,0.30,0,66,73,3,0.30,0,66,72,3,0.30,0,0,0,0,0,0,0,0,0,0,0,0,7198349,9058323,10922391,28640542725,28654174213,18,73,37,12,19,74,36,11,20,75,34,10,22,72,48,51,42,49,28,56,24,39,45,45,45,39,50,49,48,38,44,46,2,5,6,0,0,2500,100,0,0,0,0,300,5,2,3,17280,43200,28800,900,5,900,1200,300,0,125,3,
